Papers,Authors,Published Year,Journal,DOI,Conclusion,Implementation Insights,Insights,Key Findings,Limitations,Methodology,Primary Outcomes,Reproducibility,Research Question,Summary,TL;DR,Tags
Development of a proof-of-concept prototype amid limited face-to-face interactions: A case study of an engineering two-student team,"Medina Uzcátegui Luis, Mardones Fernández José, Pailapán Neicuán Alex, Cárdenas Villegas Miguel",2023,reference-manager,10.1177/03064190231200397,,,,,"Small sample size (case study of only two students), limiting generalizability.",,,,How do teamwork attributes and prior PBL experience influence the effectiveness of a two-student engineering team developing a proof-of-concept prototype under limited in-person interaction during the COVID-19 crisis?,"The paper qualitatively examines a two-student team’s effectiveness in developing a proof-of-concept prototype during COVID-19, using student perspectives and a questionnaire based on 11 teamwork attributes. Key findings highlight the importance of shared goals, commitment, and independence. Conclusions stress caution in generalizing results and suggest further research.","The research goal was to qualitatively assess teamwork effectiveness in a two-student engineering team with prior PBL experience; using a questionnaire on teamwork attributes, the study found improved shared goals and commitment in the small team, but noted differences from larger teams and called for further research on team size impact.","Engineering education, online learning, autonomous learning, project-based learning, digital teamwork"
Towards Top-Down Automated Development in Limited Scopes: A Neuro-Symbolic Framework from Expressibles to Executables,"Gu Jian, Gall Harald C.",2023,reference-manager,10.1145/3611643.3613076,,"The framework uses a top-down pipeline with two key transitions: from intentions to specifications (using semantic sketches) and from specifications to realizations (using code sketches). It addresses semantic gaps and granularity inconsistencies, promoting code reusability and semantic awareness, but may require significant human intervention for complex requirements.",,,,"Mining study on open source software to analyze coding patterns, context, and API dependence.",,,"How can a comprehensive code taxonomy and semantic bridging framework be developed and applied to effectively connect program intentions, specifications, and realizations, thereby improving code retrieval, generation, and modular software development?","The paper proposes a semantic-aware framework (SPF) for top-down code generation, aiming to bridge intentions, specifications, and realizations using a semantic pyramid model. The methodology involves building a code taxonomy, semantic bridging, and retrieval-based neural models. SPF enhances code reusability and modularity but faces challenges in human-machine interaction and scope limitations.","The research goal is to overcome neural method limitations in code generation by proposing a semantic-aware, neuro-symbolic framework (Semantic Pyramid Framework) that uses code taxonomy and graph-based representations; the approach enables top-down automated development, and results show improved code reusability and semantic connectivity.",
Causal feature selection using a knowledge graph combining structured knowledge from the biomedical literature and ontologies: a use case studying depression as a risk factor for Alzheimer's disease,"Malec Scott Alexander, Taneja Sanya B, Albert Steven M, Shaaban C. Elizabeth, Karim Helmet T, Levine Art S, Munro Paul Wesley, Callahan Tiffany J, Boyce Richard David",2022,reference-manager,10.1101/2022.07.18.500549,,"The implementation combines machine reading and human expertise to identify confounders for depression and Alzheimer’s disease (AD) using a knowledge graph (KG). Machine tools extract and infer relationships from literature, while humans assess variable relevance. The approach enables mechanistic explanations, but the confounder database is small and not comprehensive.",,,,"Machine reading systems (SemRep, EIDOS, REACH in the INDRA ecosystem) were used to extract structured triples from biomedical literature.",,,How can a biomedical knowledge graph be used to identify and select confounders for estimating the total effect of depression on Alzheimer's disease risk from observational data?,"The study aimed to estimate the total effect of depression on Alzheimer’s disease risk using observational data. Using machine reading systems and knowledge graphs, the researchers identified confounders, highlighting the strengths of ontology-grounded resources and machine-human collaboration. Limitations included incomplete terminology mapping and constrained search depth.","The research goal was to identify confounding, colliding, and mediating variables between depression and Alzheimer’s disease using a knowledge graph approach, and the principal finding is that ontology-grounded knowledge graphs efficiently automate reasoning and generate mechanistic hypotheses, though further research is needed for definitive conclusions.",
Knowledge-Based Version Incompatibility Detection for Deep Learning,"Zhao Zhongkai, Kou Bonan, Ibrahim Mohamed Yilmaz, Chen Muhao, Zhang Tianyi",2023,reference-manager,10.1145/3611643.3616364,,"Decide collects package and system library versions using pip or conda, depending on the environment. It detects and reports version issues within 1 minute, referencing relevant Stack Overflow posts. Decide outperforms PyEGo and Watchman in detecting version issues, achieving 92% precision and 65% recall. New insight: knowledge extraction from Stack Overflow is feasible and effective for version incompatibility detection.",,,,Manual identification and filtering of Stack Overflow posts using deep learning-related tags and linguistic patterns to extract version compatibility information.,,,How can a pre-trained question-answering model be used to accurately extract and consolidate version compatibility knowledge from online discussions to detect version incompatibility issues in deep learning projects?,"The paper aims to extract and consolidate compatibility knowledge between deep learning (DL) components from Stack Overflow (SO) posts using a pre-trained QA model (UniﬁedQA). The approach achieves fine-grained extraction without finetuning, reaching 84.2% precision and 91.3% recall. Majority vote yields the best consolidation accuracy (95.1%).","The research goal is to detect and explain software version incompatibilities; the approach uses Decide, which extracts version info and consolidates (in)compatibility knowledge from Stack Overflow via a pre-trained QA model; results show Decide detects issues within 1 minute and achieves 95.1% accuracy with majority vote.",
Connecting the Dots of Knowledge in Agile Software Development,"Ouriques Raquel, Gorschek Tony, Mendez Daniel, Fagerholm Fabian",2021,reference-manager,,,"The paper highlights that effective implementation relies on balancing technical, creative, collaborative, and integrative skills. Key challenges include terminology misunderstandings, content overload, and trust in boundary artefacts. Solutions involve distributed ownership, structured content processes, ICT use, and regular feedback to align artefacts with users’ needs and improve knowledge transfer.",,,,Case study: Investigated the causes and effects of trust in boundary artefacts.,,,"How can software companies effectively manage and optimize property-based resources (PBRs) and boundary artefacts to address knowledge needs, trust, ownership, and usability challenges in agile development environments?","The paper investigates how knowledge-based resources (KBRs) support adaptation to change in agile software contexts. Using a case study and grounded theory, it finds that structured processes for creating and connecting property-based resources (PBRs) are essential. Effective knowledge management prevents overload, confusion, and inefficiency, supporting agile transformation.","The research goal was to understand how knowledge-based resources (KBRs) support property-based resources (PBRs) and boundary artefacts in agile software contexts; using a case study and grounded theory, the principal finding is that structured practices and awareness of user needs improve the effectiveness of knowledge artefacts.",
Privacy-Preserving Synthetically Augmented Knowledge Graphs with Semantic Utility,"Bellomarini Luigi, Catalano Costanza, Coletta Andrea, Iezzi Michela, Samarati Pierangela",2024,reference-manager,,,"The implementation uses the Vadalog System for logic reasoning over knowledge graphs. KLONE and KGUARD anonymize graphs using (k,x)-isomorphism, maximizing privacy (δ-anonymity = 1.0) and utility. Experiments, implemented in Python with NetworkX, show improved privacy over k-Iso, especially when considering derived links.",,,,"(k,x)-isomorphism anonymization: A structural anonymization method ensuring each subgraph of x vertices has k indistinguishable, pairwise-disjoint counterparts with diverse sensitive attributes.",,,"How can knowledge graphs be anonymized to prevent re-identification attacks—especially those exploiting derived knowledge—while preserving business semantics, data utility, and diversity of sensitive attributes?","This paper introduces a new structural anonymization method for knowledge graphs (KGs) called (k,x)-isomorphism anonymization, aiming to prevent re-identification while preserving data utility. Two algorithms, KLONE and KGUARD, are proposed and evaluated, showing effective privacy protection with controlled utility loss across real-world datasets.","The research goal is to prevent re-identification in knowledge graphs (KGs) while preserving utility; the approach introduces (k,x)-isomorphism anonymization and two algorithms (KLONE, KGUARD); results show effective privacy protection and utility retention in synthetic KGs, validated on real-world financial datasets.",
Building Contextual Knowledge Graphs for Personalized Learning Recommendations Using Text Mining and Semantic Graph Completion,"Abu-Rasheed Hasan, Dornhöfer Mareike, Weber Christian, Kismihók Gábor, Buchmann Ulrike, Fathi Madjid",2023,reference-manager,10.1109/icalt58122.2023.00016,,"The implementation introduces a semantic approach using a text-mining pipeline (TMP) for relation extraction, enhancing knowledge graph (KG) connectivity and contextual representation of learning objects. Key metrics show increased average degree centrality and communities, and decreased modularity and weakly connected components, indicating improved interlinking and context integration.",,,,Systematic literature review: The study conducted a systematic review of existing literature and developed a conceptual framework for quality assessment in Linked Data.,,,How can semantic analysis and knowledge graph construction be used to enhance the contextual representation of learning activities (Las) in digital learning platforms for improved personalized recommendations?,,"The research goal is to enhance contextual representation of learning assets (Las) in personalized learning systems by transferring hierarchical data models to knowledge graphs using a semantic text-mining pipeline; the approach improved semantic connectivity among Las, enabling richer contextual recommendations.",
Enabling knowledge discovery in natural hazard engineering datasets on DesignSafe,"Mehta Chahak, kumar K.",2023,reference-manager,,,Implementation Insights Summary:,,,,,,,,,,
Bring Privacy To The Table: Interactive Negotiation for Privacy Settings of Shared Sensing Devices,"Zhou Haozhe, Goel Mayank, Agarwal Yuvraj",2024,reference-manager,10.1145/3613904.3642897,,"Implementation Insights highlight that privacy negotiations for shared IoT devices are complex due to user unawareness, social dynamics, and technical barriers. Key new insights include the need for efficient, low-burden systems, support for anonymity, synchronized negotiations, balanced participation, and clear preference management. The ThingPoll prototype addresses these challenges.",,,,"Iterative design process: The study used repeated cycles of designing, building, and evaluating the ThingPoll negotiation system.",,,How can a negotiation system like ThingPoll effectively mediate privacy and functionality conflicts among users of smart home IoT devices by eliciting and modeling user preferences during the negotiation process?,"The paper introduces ThingPoll, a negotiation system for shared smart home privacy settings. Using iterative design, a formative study (N=12), and a summative evaluation (N=30), the study found ThingPoll led to high user satisfaction (83.3%), low workload, and effective privacy negotiation, supporting equitable and transparent decision-making.","The research goal was to design and evaluate ThingPoll, an IoT privacy negotiation system; using an iterative design and user studies, the approach enabled negotiation among users, and the principal finding was that negotiation produced the highest satisfaction (83.3%) compared to Homeowner, Majority, and Veto Vote (No Negotiation) approaches.",
Discerning Individual Preferences for Identifying and Flagging Misinformation on Social Media,"Barman Dipto, Koidl Kevin, Conlan Owen",2024,reference-manager,10.1145/3627043.3659545,,The paper implemented a flag-based warning system with explanatory text to help users judge headline accuracy and reduce misinformation spread. Findings show explanatory narratives increase flag credibility and user trust. New insights suggest personalizing warning systems and using inoculation messages can further improve effectiveness. Limitations include self-report bias and emotional topic influence.,,,,"Within-subject design simulating a social media environment with misinformation flags, some enriched with explanatory context.",,,"How do different types of misinformation flagging systems, with and without explanatory context, and individual user characteristics influence social media users’ perception of accuracy, sharing intent, and trust in the flagging system?","The study investigates whether adding explanatory text to misinformation flags on social media improves users’ ability to judge news accuracy. Using a within-subject design with 348 US participants, results show that explanatory narratives increase flag credibility and user understanding, supporting more effective misinformation countermeasures.","The research goal was to evaluate the effectiveness of flag-based misinformation warning systems on social media; using a within-subject design, the study found that adding explanatory text to misinformation flags increases their credibility and helps users better judge news accuracy.",
Personal Research Knowledge Graphs,"Chakraborty Prantika, Dutta Sudakshina, Sanyal Debarshi Kumar",2022,reference-manager,10.1145/3487553.3524654,,Implementation Insights:,,,,,,,,,,
Multimodal Reasoning with Multimodal Knowledge Graph,"Lee Junlin, Wang Yequan, Li Jing, Zhang Min",2024,reference-manager,,,"Implementation Insights highlight that MR-MKG effectively enhances multimodal reasoning by leveraging multimodal knowledge graphs. It outperforms parameter-efficient models like LLaMA-Adapter and LaVIN, and shows greater gains as model size increases. New insight: MR-MKG surpasses LLaVA in most categories despite using fewer parameters, indicating high efficiency.",,,,"Multimodal-CoT prompting: A two-stage framework that first generates a rationale and then predicts the answer, using both text and image information.",,,How can multimodal knowledge graphs be leveraged to enhance the multimodal reasoning capabilities of large language models in tasks such as multimodal question answering and analogy reasoning?,"The paper proposes MR-MKG, a method to enhance large language models’ multimodal reasoning using multimodal knowledge graphs (MMKGs). Through experiments on tasks like ScienceQA and MARS, MR-MKG achieves state-of-the-art results. Ablation studies confirm each component’s effectiveness. The approach demonstrates improved reasoning by integrating image, text, and knowledge triplets.","The research goal is to enhance multimodal reasoning in large language models using multimodal knowledge graphs (MMKGs); the approach, MR-MKG, integrates image, text, and knowledge triplets from MMKGs; results show MR-MKG achieves new state-of-the-art accuracy and efficiency on ScienceQA and MARS tasks.",
Docs2KG: Unified Knowledge Graph Construction from Heterogeneous Documents Assisted by Large Language Models,"Sun Qiang, Luo Yuanyi, Zhang Wenxiao, Li Sirui, Li Jichunyang, Niu Kai, Kong Xiangrui, Liu Wei",2024,reference-manager,,,"Implementation Insights highlight that Docs2KG integrates heterogeneous, unstructured documents (e.g., PDFs, Excel, images) into a unified knowledge graph (KG), preserving source references for Retrieval Augmented Generation (RAG). Its dual-path strategy combines deep learning-based layout analysis and markdown parsing, enabling dynamic, extensible, and multimodal data extraction and semantic representation.",,,,"Extraction of multimodal data (tables, texts, images, figures) from diverse formats using tools like BeautifulSoup for HTML and pandas for Excel.",,,"How can a unified knowledge graph framework, assisted by large language models, be constructed from heterogeneous unstructured documents to enable effective integration, semantic representation, and retrieval of multimodal information while maintaining references to the original data sources?","The paper proposes Docs2KG, a system that integrates unstructured, heterogeneous documents (PDF, Excel, etc.) into a unified Knowledge Graph (KG). Using dual-path processing and multimodal extraction, Docs2KG enables semantic and structural queries. The approach improves information retrieval and supports Retrieval Augmented Generation, reducing hallucination in language models.","The research goal is to unify extraction and integration of multimodal unstructured data using the Docs2KG framework, which combines deep learning-based document layout analysis and structured parsing; the principal finding is that Docs2KG enables dynamic, extensible knowledge graph construction for effective semantic and structural information retrieval.",
Explore-Construct-Filter: An Automated Framework for Rich and Reliable API Knowledge Graphs,"Sun Yanbang, Huang Qing, Ren Xiaoxue, Xing Zhenchang, Li Xiaohong, Wang Junjie",2020,reference-manager,,,"The paper introduces an automated Knowledge Graph (KG) construction method using LLMs, featuring three modules: exploration (for comprehensive schema discovery), construction (extracting instances from text), and filtering (removing unreliable data). This “explore-construct-filter” strategy improves efficiency, richness, and reliability compared to baselines. New insight: full schema combinations enhance KG comprehensiveness.",,,,"Explore-Construct-Filter framework: A three-stage process involving exploration, construction, and filtering of knowledge graph (KG) schemas and triples.",,,How can the Explore-Construct-Filter framework be used to construct a comprehensive and reliable API knowledge graph by discovering diverse entity types and relation types?,"The paper aims to evaluate the effectiveness of an Explore-Construct-Filter framework for API knowledge graph (KG) construction. Using structured prompt designs and the GPT-4o model, the study compares its method against seven baselines. Results show improved richness and reliability of API KGs, with high annotation agreement (Cohen’s Kappa: 0.78, 0.82).","The research goal is automated, reliable, and comprehensive knowledge graph (KG) construction using LLMs; the approach is an Explore-Construct-Filter framework with modules for schema exploration, instance extraction, and probabilistic filtering; results show improved KG richness and reliability compared to baselines.",
Mining literature and pathway data to explore the relations of ketamine with neurotransmitters and gut microbiota using a knowledge-graph,"Liu Ting, Feenstra K Anton, Huang Zhisheng, Heringa Jaap",2023,reference-manager,10.1093/bioinformatics/btad771,,"The BioKetBERT model effectively identifies relations between entities in the same sentence but struggles to classify them as activation or inhibition due to difficulty parsing relational verbs. Improvements could include verb lemmatization, automated image-based pathway extraction, and advanced graph analysis for better knowledge inference and scalability.",,,,Manual fact extraction: Researchers manually curated pathway facts from images in scientific publications.,,,"How can a knowledge graph integrating manual curation, automated named entity recognition, and relation extraction be constructed and used to analyze the relationships between ketamine, neurotransmitters, and gut microbiota in the context of ketamine’s antidepressant effects?","The paper presents KetPath, a knowledge graph integrating ketamine pathway data from biomedical literature and databases. Using manual curation, automated named entity recognition, and relation extraction, KetPath enables detailed analysis of ketamine’s effects on neurotransmitters and gut microbiota, revealing mechanisms underlying its sustained antidepressant effects.","The research goal was to improve understanding of ketamine’s antidepressant effects via gut microbiota by constructing the KetPath knowledge graph using manual curation and automated extraction; results show KetPath enables detailed retrieval of biological pathway relations, revealing gut microbes’ role in sustaining ketamine’s effects.",
Enabling building digital twin: Ontology-based information management framework for multi-source data integration,"Xie X, Moretti N, Merino J, Chang J Y, Pauwels P, Parlikad A K",2022,reference-manager,10.1088/1755-1315/1101/9/092010,,"The paper reviews practical implementations of an ontology-based Information Management Framework (IMF) for building digital twins. It highlights merging BOT and BRICK ontologies for a Foundation Data Model, compares data warehouse and mediator integration approaches, and stresses the importance of data quality evaluation in future work.",,,,Merging BOT and BRICK ontologies in OWL to create a Foundation Data Model (FDM) for representing building topologies and MEP facilities.,,,How can a candidate Foundation Data Model (FDM) effectively integrate heterogeneous building data from autonomous sources using merged ontologies and hybrid data integration architectures to support efficient information management for built assets?,"The paper reviews practical implementations of the Information Management Framework (IMF) for building digital twins, focusing on integrating heterogeneous data using ontology-based processes. It proposes merging BOT and BRICK ontologies into a Foundation Data Model (FDM), recommending hybrid data integration architectures. The approach enhances data interoperability and management in building systems.",The research goal is to improve information management for built assets by integrating heterogeneous data; the approach merges BOT and BRICK ontologies into a Foundation Data Model and compares data warehouse and mediator architectures; the principal finding is that both architectures are preferable in different asset management scenarios.,
PoC Design: A Methodology for Proof-of-Concept (PoC) Development on Internet of Things Connected Dynamic Environments,"Prasanna K., Ramana Kadiyala, Dhiman Gaurav, Kautish Sandeep, Chakravarthy V. Deeban",2021,reference-manager,10.1155/2021/7185827,,"The Implementation Insights highlight the PoC Design methodology, emphasizing early stakeholder involvement, defining problems by business value, and validating concepts quickly (""""fail fast""""). The study notes challenges in comparing results and suggests future research on cultural perspectives and the impact of strict time frames on projects.",,,,"PoC Design methodology: A step-by-step approach focusing on identifying problems, finding optimal solutions, designing, building, evaluating, and deploying IoT systems for business benefit.",,,How does the PoC Design methodology identify and evaluate problems and solutions to maximize business benefit for customers from both technical and business perspectives?,"The paper aims to develop and evaluate the PoC Design methodology for IoT Proof-of-Concept (PoC) projects, focusing on smart street lighting. Using workshops, feasibility studies, and case studies, it finds the methodology secures business benefits, saves resources, achieves 32–45% energy savings, and 100% error detection accuracy.","The research goal is to develop and evaluate a project methodology (PoC Design methodology) for IoT-PoC development, using literature and consultant interviews; the approach involves a case study on outdoor lighting defect detection, and results show 100% error detection accuracy and significant energy savings (32% holidays, 45% normal days).",
Sustainable Development Goal indicator for measuring availability and affordability of medicines for children: a proof-of-concept study,"Joosse Iris R, Mantel-Teeuwisse Aukje K, Suleman Fatima, van den Ham Hendrika A",2023,reference-manager,10.1136/bmjopen-2022-065929,,"The study adapted an existing, approved tool for children, using quality-assured historical datasets with limited age-appropriate medicines. The methodology allows initial comparison but is constrained by outdated data and small sample size. Further prospective data collection is needed for robust analysis and meaningful sensitivity analyses.",,,,"Data collection in six geographical survey areas per country, including urban and other regions, with systematic selection of health facilities across public, private, and other sectors.",,,"How can a standardized, child-specific methodology based on SDG indicator 3.b.3 be developed and applied to measure and compare the availability and affordability of age-appropriate medicines for children across different countries?","The study aimed to adapt and validate an existing WHO/HAI methodology to measure the availability and affordability of medicines for children. Using historical, quality-assured datasets from several countries, the adapted tool showed proof of concept but highlighted the need for more comprehensive, child-specific data for future analyses.","The research goal was to adapt the WHO/HAI methodology for measuring access to pediatric medicines; the approach involved developing child-specific core medicine sets and a new affordability parameter (NUNT); results showed successful proof of concept using historical data from three countries, enabling standardized, comparable access assessments.",
