Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords,Source_File,Domain_Category,Access_Type
Toward the Tradeoffs between Privacy Fairness and Utility in Federated Learning,Multiple Authors,2023,arXiv,https://arxiv.org/abs/2311.18190,Multi-dimensional tradeoff analysis,Privacy-Preserving Federated Learning,arXiv,automatic
Membership Inference Attacks and Defenses in Federated Learning: A Survey,Multiple Authors,2024,arXiv,https://arxiv.org/html/2412.06157v1,Comprehensive MIA survey and defense mechanisms,Privacy-Preserving Federated Learning,arXiv,automatic
Share Your Representation Only: Guaranteed Improvement of the Privacy-Utility Tradeoff in Federated Learning,Multiple Authors,2024,OpenReview,https://openreview.net/forum?id=oJpVVGXu9i,Representation learning for improved privacy-utility tradeoff,Privacy-Preserving Federated Learning,OpenReview,automatic
Multimodal Object Detection using Depth and Image Data for Manufacturing Parts,Not specified,2024,arXiv,https://arxiv.org/html/2411.09062v2,Multi-sensor calibration and alignment standards for RGB-depth data fusion,Multimodal Data Capture Standardization,arXiv,automatic
Simplifying Multimodal Clinical Research Data Management: Introducing an Integrated and User-friendly Database Concept,Not specified,2024,PMC/PubMed Central,https://pmc.ncbi.nlm.nih.gov/articles/PMC10972680/,Clinical data management standards with validation mechanisms and quality control measures,Multimodal Data Capture Standardization,PubMed/PMC,automatic
Sensor Data Acquisition and Multimodal Sensor Fusion for Human Activity Recognition Using Deep Learning,Not specified,2019,MDPI Sensors,https://www.mdpi.com/1424-8220/19/7/1716,Systematic study of sensor positioning and data acquisition protocols for HAR systems,Multimodal Data Capture Standardization,MDPI Open Access,automatic
An Incremental Learning Framework to Enhance Teaching by Demonstration Based on Multimodal Sensor Fusion,Not specified,2020,Frontiers in Neurorobotics,https://www.frontiersin.org/journals/neurorobotics/articles/10.3389/fnbot.2020.00055/full,Robot learning framework combining incremental learning with multimodal sensor fusion standards,Multimodal Data Capture Standardization,Frontiers Open Access,automatic
Multimodal Coherence Revisited: Notes on the Move From Theory to Data in Annotating Print Advertisements,Not specified,2022,Frontiers in Communication,https://www.frontiersin.org/journals/communication/articles/10.3389/fcomm.2022.900994/full,Annotation framework for multimodal coherence with six dimensions and empirical validation guidelines,Multimodal Data Capture Standardization,Frontiers Open Access,automatic
The Multimodal Annotation Software Tool (MAST),Not specified,2022,ACL Anthology,https://aclanthology.org/2022.lrec-1.736/,Software tool for multimodal document analysis with standardized annotation schemas and relation establishment,Multimodal Data Capture Standardization,ACL Anthology,automatic
MultiBench: Multiscale Benchmarks for Multimodal Representation Learning,Not specified,2021,OpenReview,https://openreview.net/forum?id=izzQAL8BciY,Unified benchmark spanning 15 datasets 10 modalities 20 prediction tasks with standardized evaluation pipeline,Multimodal Data Capture Standardization,OpenReview,automatic
Practical Aspects of Cross-Vendor TSN Time Synchronization Using IEEE 802.1AS,Not specified,2024,MDPI,https://www.mdpi.com/2224-2708/14/4/67,Time-Sensitive Networking standards for cross-vendor interoperability and synchronization protocols,Multimodal Data Capture Standardization,MDPI Open Access,automatic
IoT Network Model with Multimodal Node Distribution and Data-Collecting Mechanism Using Mobile Clustering Nodes,Not specified,2023,MDPI Electronics,https://www.mdpi.com/2079-9292/12/6/1410,IoT framework with DBSCAN clustering for multimodal sensor data collection and mobile clustering protocols,Multimodal Data Capture Standardization,MDPI Open Access,automatic
Quality and Relevance Metrics for Selection of Multimodal Pretraining Data,Not specified,2020,CVPR Workshop,https://openaccess.thecvf.com/content_CVPRW_2020/papers/w56/Rao_Quality_and_Relevance_Metrics_for_Selection_of_Multimodal_Pretraining_Data_CVPRW_2020_paper.pdf,Metrics for multimodal data quality assessment using CLIPScore and cosine similarity filtering,Multimodal Data Capture Standardization,CVF Open Access,automatic
A Survey on Benchmarks of Multimodal Large Language Models,Not specified,2024,arXiv,https://arxiv.org/abs/2408.08632,Comprehensive review of 200+ MLLM benchmarks covering perception understanding cognition and reasoning,Multimodal Data Capture Standardization,arXiv,automatic
MMMU: A Massive Multi-discipline Multimodal Understanding and Reasoning Benchmark for Expert AGI,Not specified,2023,arXiv,https://arxiv.org/abs/2311.16502,Benchmark with 11.5K questions covering 6 disciplines for college-level multimodal reasoning evaluation,Multimodal Data Capture Standardization,arXiv,automatic
MAVERIX: Multimodal Audio-Visual Evaluation Reasoning IndeX,Not specified,2024,ResearchGate,https://www.researchgate.net/publication/390247649_MAVERIX_Multimodal_Audio-Visual_Evaluation_Reasoning_IndeX,Novel benchmark with 700 videos and 2556 questions for audiovisual model evaluation,Multimodal Data Capture Standardization,ResearchGate,automatic
CONNECTED: leveraging digital twins and personal knowledge graphs in healthcare digitalization,Sabrina Aufiero et al.,2023,Frontiers in Digital Health,https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2023.1322428/full,Healthcare applications; digital twins; medical informatics,Personal Knowledge Graphs,Frontiers Open Access,automatic
Personalized Health Knowledge Graph,Amelie Gyrard et al.,2021,Semantic Scholar,https://www.semanticscholar.org/paper/Personalized-Health-Knowledge-Graph-Gyrard-Gaur/d8acc5f15dc9a05fd35f4545c5a46a47866d921e,Healthcare personalization; medical knowledge graphs; patient-centric systems,Personal Knowledge Graphs,Semantic Scholar,automatic
A Personal Healthcare Knowledge Graph Framework for Diagnosis of Pelvic Masses Diseases,Unknown Authors,2023,ResearchGate,https://www.researchgate.net/publication/377694519_A_Personal_Healthcare_Knowledge_Graph_Framework_for_Diagnosis_of_Pelvic_Masses_Diseases,Medical diagnosis; clinical decision support; healthcare KG,Personal Knowledge Graphs,ResearchGate,automatic
A Survey on Temporal Knowledge Graph: Representation Learning and Applications,Unknown Authors,2024,arXiv,https://arxiv.org/abs/2403.04782,Temporal KG survey; representation learning; applications overview,Personal Knowledge Graphs,arXiv,automatic
Steps to Knowledge Graphs Quality Assessment,Unknown Authors,2022,arXiv,https://arxiv.org/abs/2208.07779,Quality metrics; assessment frameworks; evaluation methodologies,Personal Knowledge Graphs,arXiv,automatic
Structural Quality Metrics to Evaluate Knowledge Graphs,Unknown Authors,2022,Semantic Web Journal,https://arxiv.org/abs/2211.10011,Structural metrics; KG quality; evaluation frameworks,Personal Knowledge Graphs,arXiv,automatic
A Survey on Temporal Knowledge Graph Completion: Taxonomy Progress and Prospects,Jiapu Wang et al.,2023,arXiv,https://arxiv.org/abs/2308.02457,Survey on TKGC methods with taxonomy and future prospects,Temporal Knowledge Graphs,arXiv,automatic
TGB 2.0: A Benchmark for Learning on Temporal Knowledge Graphs and Heterogeneous Graphs,Julia Gastinger et al.,2024,arXiv/NeurIPS,https://arxiv.org/abs/2406.09639,Large-scale benchmarking framework for temporal knowledge graphs,Temporal Knowledge Graphs,arXiv,automatic
Temporal Knowledge Graph Question Answering: A Survey,Costas Mavromatis et al.,2024,arXiv,https://arxiv.org/abs/2406.14191,Survey on temporal knowledge graph question answering systems,Temporal Knowledge Graphs,arXiv,automatic
Chain of History: Learning and Forecasting with LLMs for Temporal Knowledge Graph Completion,Ruilin Luo et al.,2024,arXiv,https://arxiv.org/abs/2401.06072,LLM-based approach for temporal knowledge graph completion,Temporal Knowledge Graphs,arXiv,automatic
Temporal Knowledge Graph Reasoning with Historical Contrastive Learning,Yixing Xu et al.,2022,arXiv,https://arxiv.org/abs/2211.10904,Contrastive learning approach for temporal reasoning,Temporal Knowledge Graphs,arXiv,automatic
TeRo: A Time-aware Knowledge Graph Embedding via Temporal Rotation,Chengjin Xu et al.,2020,COLING,https://aclanthology.org/2020.coling-main.139/,Temporal rotation in complex space for TKG embeddings,Temporal Knowledge Graphs,ACL Anthology,automatic
TLogic: Temporal Logical Rules for Explainable Link Forecasting on Temporal Knowledge Graphs,Yushan Liu et al.,2022,AAAI,https://arxiv.org/abs/2112.08025,Explainable temporal reasoning using logical rules,Temporal Knowledge Graphs,arXiv,automatic
GenTKG: Generative Forecasting on Temporal Knowledge Graph with Large Language Models,Ruotong Liao et al.,2023,arXiv,https://arxiv.org/abs/2310.07793,Generative LLM approach for temporal forecasting,Temporal Knowledge Graphs,arXiv,automatic
Temporal Knowledge Graph Completion with Approximated Gaussian Process Embedding,Lingjuan Zhang et al.,2022,COLING,https://aclanthology.org/2022.coling-1.416/,Gaussian process embeddings for temporal completion,Temporal Knowledge Graphs,ACL Anthology,automatic
HGE: Embedding Temporal Knowledge Graphs in a Product Space of Heterogeneous Geometric Subspaces,Jiaxin Pan et al.,2023,arXiv,https://arxiv.org/abs/2312.13680,Heterogeneous geometric embeddings for temporal KGs,Temporal Knowledge Graphs,arXiv,automatic
Temporal Knowledge Graph Completion using a Linear Temporal Regularizer and Multivector Embeddings,Chengjin Xu et al.,2021,NAACL,https://aclanthology.org/2021.naacl-main.202/,Linear temporal regularization with multivector embeddings,Temporal Knowledge Graphs,ACL Anthology,automatic
Selective Temporal Knowledge Graph Reasoning,Zhongni Hou et al.,2024,LREC-COLING,https://aclanthology.org/2024.lrec-main.1268/,Selective reasoning with confidence estimation,Temporal Knowledge Graphs,ACL Anthology,automatic
Event-Centric Temporal Knowledge Graph Construction: A Survey,Timotej Knez et al.,2023,Mathematics MDPI,https://www.mdpi.com/2227-7390/11/23/4852,Survey on event-centric temporal KG construction,Temporal Knowledge Graphs,MDPI Open Access,automatic
A Brief Survey on Deep Learning-Based Temporal Knowledge Graph Completion,Borui Cai et al.,2024,Applied Sciences MDPI,https://www.mdpi.com/2076-3417/14/19/8871,Deep learning methods for temporal KG completion,Temporal Knowledge Graphs,MDPI Open Access,automatic
Temporal Knowledge Graph Completion with Time-sensitive Relations in Hypercomplex Space,Zifeng Ding et al.,2024,arXiv,https://arxiv.org/abs/2403.02355,Hypercomplex space embeddings for time-sensitive relations,Temporal Knowledge Graphs,arXiv,automatic
An Ecosystem for Personal Knowledge Graphs: A Survey and Research Roadmap,"19 Apr 2023 , last revised 15 Mar 2024",2023,arXiv,https://arxiv.org/abs/2304.09572,"# Computer Science > Artificial Intelligence **arXiv:2304.09572** (cs) \[Submitted on 19 Apr 2023 ( [v1](https://arxiv.org/abs/2304.09572v1)), last revised 15 Mar 2024 (this version, v2)\] # Title:An ...",Data Integration Challenges,arXiv,automatic
Data Integration Challenges for Machine Learning in Precision Medicine,"Mireya Martínez-García, Enrique Hernández-Lemus",2022,Frontiers,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2021.784455/full,"1. Introduction Contemporary biomedical research and medical practices are increasingly turning into data-intensive fields, for which computational intelligence approaches, such as those based on arti...",Data Integration Challenges,Frontiers Open Access,automatic
Data Integration Challenges for Machine Learning in Precision Medicine,Enrique Hernández-Lemus,2022,Frontiers,https://www.frontiersin.org/articles/10.3389/fmed.2021.784455/pdf,"REVIEW published: 25 January 2022 doi: 10.3389/fmed.2021.784455 Frontiers in Medicine | www.frontiersin.org 1 January 2022 | Volume 8 | Article 784455 Edited by: Yuguang Wang, Shanghai Jiao Tong Unive...",Data Integration Challenges,Frontiers Open Access,automatic
[PDF] Knowledge Graphs for the Life Sciences - City Research Online,Neil Stewart,2023,Other,https://openaccess.city.ac.uk/31611/8/TGDK.1.1.5.pdf,"City, University of London Institutional Repository Citation: Chen, J., Dong, H., Hastings, J., Jimenez-Ruiz, E., Lopez, V., Monnin, P., Pesquita, C., Škoda, P. & Tamma, V. (2023). Knowledge Graphs fo...",Data Integration Challenges,City Research Online,automatic
Data Harmonization for Heterogeneous Datasets: A Systematic Literature Review,"Ganesh Kumar, Shuib Basri, Abdullahi Abubakar Imam, Sunder Ali Khowaja, Luiz Fernando Capretz and Ab",2021,MDPI,https://mdpi-res.com/d_attachment/applsci/applsci-11-08275/article_deploy/applsci-11-08275-v2.pdf?version=1631073461,"applied sciences Review Data Harmonization for Heterogeneous Datasets: A Systematic Literature Review Ganesh Kumar 1,* , Shuib Basri 1 , Abdullahi Abubakar Imam 1,2, Sunder Ali Khowaja 3, Luiz Fernand...",Data Integration Challenges,MDPI,automatic
Knowledge Graphs: Opportunities and Challenges,"Ciyuan Peng,Feng Xia,Mehdi Naseriparsa,Francesco Osborne",2023,arXiv,https://export.arxiv.org/pdf/2303.13948v1.pdf,"Ciyuan Peng ciyuan.p@outlook.com Institute of Innovation, Science and Sustainability Federation University Australia 3353Ballarat VIC Australia Introduction · Feng Xia School of Computing Technologies...",Data Integration Challenges,arXiv,automatic
"Knowledge Graphs in Practice: Characterizing their Users, Challenges, and Visualization Opportunities","Harry Li,Gabriel Appleby,Camelia Daniela Brumar,Remco Chang,Ashley Suh",2024,arXiv,https://export.arxiv.org/pdf/2304.01311v3.pdf,"Harry Li Gabriel Appleby Camelia Daniela Brumar Remco Chang Ashley Suh Knowledge Graphs in Practice: Characterizing their Users, Challenges, and Visualization Opportunities Index Terms-Knowledge graph...",Data Integration Challenges,arXiv,automatic
Data Augmentation for Personal Knowledge Base Population | Semantic Scholar,Balaji Ganesan; Lokesh Nagalapatti; Hima Patel,2023,Semantic Scholar,https://www.semanticscholar.org/paper/Data-Augmentation-for-Personal-Knowledge-Base-Ganesan-Nagalapatti/663aa9e377e724cf08276720d69e5a2b513e0b1b,Report on the Workshop on Personal Knowledge Graphs (PKG 2021) at AKBC 2021 Computer Science ACM SIGIR Forum 2022 The goal of the PKG'21 workshop was to create a forum for researchers and practitioner...,Data Integration Challenges,Semantic Scholar,automatic
Merging heterogeneous clinical data to enable knowledge discovery,"Martin G. Seneviratne, Michael G. Kahn, Tina Hernandez-Boussard",2019,Other,https://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC6447393&blobtype=pdf,"Merging heterogeneous clinical data to enable knowledge discovery Martin G. Seneviratne, Department of Biomedical Data Science, Stanford University, 1265 Welch Rd, Stanford, CA 94305, United States, m...",Data Integration Challenges,Europe PMC,automatic
Applying Personal Knowledge Graphs to Health,15 Apr 2021,2021,arXiv,https://arxiv.org/abs/2104.07587,# Computer Science > Artificial Intelligence **arXiv:2104.07587** (cs) \[Submitted on 15 Apr 2021\] # Title:Applying Personal Knowledge Graphs to Health Authors: [Sola Shirai](https://arxiv.org/search...,Data Integration Challenges,arXiv,automatic
Construction of Knowledge Graphs: State and Challenges,"Marvin Hofer,Daniel Obraczka,Alieh Saeedi,Hanna Köpcke,Erhard Rahm",2023,arXiv,https://export.arxiv.org/pdf/2302.11509v1.pdf,Marvin Hofer Center for Scalable Data Analytics and Artificial Intelligence (ScaDS.AI Dresden/LeipzigGermany Daniel Obraczka Center for Scalable Data Analytics and Artificial Intelligence (ScaDS.AI Dr...,Data Integration Challenges,arXiv,automatic
A solution and practice for combining multi-source heterogeneous ...,"Chenwei Yan, Xinyue Fang, Xiaotong Huang, Chenyi Guo, Ji Wu",2023,Frontiers,https://www.frontiersin.org/journals/big-data/articles/10.3389/fdata.2023.1278153/full,"## 1\. Introduction A comprehensive understanding of enterprises and their associations is vital in the financial domain, as it benefits several real-world applications, such as fraud detection, risk ...",Data Integration Challenges,Frontiers Open Access,automatic
Integrating (Very) Heterogeneous Data Sources: A Structured and an Unstructured Perspective,Ioana Manolescu,2020,HAL Archives,https://inria.hal.science/hal-02930728,"[Accéder directement au contenu](https://inria.hal.science/hal-02930728#skip-link) | | | --- | | Portail INRIA.HAL.SCIENCE Les publications, logiciels... des scientifiques Inria | - [Accueil](https://...",Data Integration Challenges,HAL Archives,automatic
Heterogeneous data integration: Challenges and opportunities - PMC,,2024,PubMed/PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11402636/,Abstract Integrating multiple data source technologies is essential for organizations to respond to highly dynamic market needs. Although physical data integration systems have been considered to have...,Data Integration Challenges,PubMed/PMC,automatic
An approach for semantic integration of heterogeneous data sources - PubMed,"Giuseppe Fusco 1 , Lerina Aversano 1",2020,PubMed/PMC,https://pubmed.ncbi.nlm.nih.gov/33816906,"## Abstract Integrating data from multiple heterogeneous data sources entails dealing with data distributed among heterogeneous information sources, which can be structured, semi-structured or unstruc...",Data Integration Challenges,PubMed/PMC,automatic
Meaningful Integration of Data from Heterogeneous Health Services and Home Environment Based on Ontology,Prashant Goswami,2019,MDPI,https://www.mdpi.com/1424-8220/19/8/1747,"## Article Menu Font Type: _Arial__Georgia__Verdana_ Open AccessArticle by Cong Peng \* and Prashant Goswami Department of Computer Science, Blekinge Institute of Technology, 371 79 Karlskrona, Sweden...",Data Integration Challenges,MDPI Open Access,automatic
A comprehensive survey of personal knowledge graphs,,2023,Other,https://typeset.io/pdf/a-comprehensive-survey-of-personal-knowledge-graphs-1xz6ez6mjz.pdf,"FOCUS ARTICLE A comprehensive survey of personal knowledge graphs Prantika Chakraborty | Debarshi Kumar Sanyal School of Mathematical and Computational Sciences, Indian Association for the Cultivation...",Data Integration Challenges,Typeset,automatic
Personalized Health Knowledge Graph,,2018,PubMed/PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC8532078/,. Author manuscript; available in PMC: 2021 Oct 22. _Published in final edited form as:_ CEUR Workshop Proc. 2018 Oct;2317:5. ## Abstract Our current health applications do not adequately take into ac...,Data Integration Challenges,PubMed/PMC,automatic
Towards Self-organizing Personal Knowledge Assistants in Evolving Corporate Memories,"Christian Jilek,Markus Schröder,Heiko Maus,Sven Schwarz,Andreas Dengel",2023,arXiv,https://export.arxiv.org/pdf/2308.01732v1.pdf,Christian Jilek christian.jilek@dfki.de Smart Data and Knowledge Services Department German Research Center for Artificial Intelligence (DFKI) KaiserslauternGermany Department of Computer Science RPTU...,Data Integration Challenges,arXiv,automatic
PKG API: A Tool for Personal Knowledge Graph Management,12 Feb 2024,2024,arXiv,https://arxiv.org/abs/2402.07540,# Computer Science > Human-Computer Interaction **arXiv:2402.07540** (cs) \[Submitted on 12 Feb 2024\] # Title:PKG API: A Tool for Personal Knowledge Graph Management Authors: [Nolwenn Bernard](https:...,Data Integration Challenges,arXiv,automatic
,,2023,arXiv,https://arxiv.org/pdf/2301.07676.pdf,"A Workflow Model for Holistic Data Management and Semantic Interoperability in Quantitative Archival Research Pavlos Fafalios 1 , Yannis Marketakis 1 , Anastasia Axaridou 1 , Yannis Tzitzikas 1,2 , an...",Data Integration Challenges,arXiv,automatic
Personal Knowledge Graphs: Use Cases in e-learning Platforms,Eleni Ilkou,2022,arXiv,https://arxiv.org/pdf/2203.08507v1.pdf,Eleni Ilkou ilkou@l3s.de L3S Research Center Leibniz University Hannover Hanover Germany Personal Knowledge Graphs: Use Cases in e-learning Platforms 10.1145/nnnnnnn.nnnnnnnsupervised by Prof. Dr. Wol...,Data Integration Challenges,arXiv,automatic
Personal Research Knowledge Graphs,Chakraborty; Prantika; Dutta; Sudakshina; Sanyal; Debarshi Kumar,2022,arXiv,https://arxiv.org/abs/2204.11428,"Download PDF Abstract: Maintaining research-related information in an organized manner can be challenging for a researcher. In this paper, we envision personal research knowledge graphs (PRKGs) as a m...",Data Integration Challenges,arXiv,automatic
A Context Model for Personal Data Streams,"Fausto Giunchiglia,Xiaoyue Li,Matteo Busso,Marcelo Rodas-Britez",2022,arXiv,https://export.arxiv.org/pdf/2206.10212v1.pdf,Fausto Giunchiglia fausto.giunchiglia@unitn.it Department of Information Engineering and Computer Science University of Trento TrentoItaly A Context Model for Personal Data Streams Personal Situationa...,Data Integration Challenges,arXiv,automatic
[PDF] A Knowledge Base for Personal Information Management | Semantic Scholar,K. BalogTom Kenter,2018,Semantic Scholar,https://www.semanticscholar.org/paper/A-Knowledge-Base-for-Personal-Information-Montoya-Tanon/f7258e1131269d125a3db9856da905144b9ce511,[Skip to search form](https://www.semanticscholar.org/paper/A-Knowledge-Base-for-Personal-Information-Montoya-Tanon/f7258e1131269d125a3db9856da905144b9ce511#search-form) [Skip to main content](https:/...,Data Integration Challenges,Semantic Scholar,automatic
Prediction of Diabetic Macular Edema Using Knowledge Graph,"Zhi-Qing Li, Zi-Xuan Fu, Wen-Jun Li, Hao Fan, Shu-Nan Li, Xi-Mo Wang and Peng Zhou",2023,MDPI,https://www.mdpi.com/2075-4418/13/11/1858/pdf?version=1685082783,"Citation: Li, Z.-Q.; Fu, Z.-X.; Li, W.-J.; Fan, H.; Li, S.-N.; Wang, X.-M.; Zhou, P. Prediction of Diabetic Macular Edema Using Knowledge Graph. Diagnostics 2023, 13, 1858. https:// doi.org/10.3390/di...",Data Integration Challenges,MDPI Open Access,automatic
Designing a System Architecture for Dynamic Data Collection as a Foundation for Knowledge Modeling in Industry,Markus Wagner,2025,MDPI,https://www.mdpi.com/2076-3417/15/9/5081,"## 1\. Introduction In the data-driven economy of Industry 4.0, the ability to efficiently collect, analyze, and utilize data is crucial for competitiveness and innovation \[ [1](http://www.mdpi.com/w...",Data Integration Challenges,MDPI Open Access,automatic
Personalizing Large Language Models using Retrieval Augmented Generation and Knowledge Graph,15 May 2025,2025,arXiv,https://arxiv.org/abs/2505.09945,"[View PDF](https://arxiv.org/pdf/2505.09945) [HTML (experimental)](https://arxiv.org/html/2505.09945v1) > Abstract:The advent of large language models (LLMs) has allowed numerous applications, includi...",Data Integration Challenges,arXiv,automatic
A Polystore Architecture Using Knowledge Graphs to Support Queries on Heterogeneous Data Stores,"Leonardo Guerreiro Azevedo,Renan Souza,Elton Soares,Raphael Melo Thiago,Julio Tesolin,Oliveira, Ann ",2024,arXiv,https://export.arxiv.org/pdf/2308.03584v1.pdf,[![Cornell University](https://static.arxiv.org/icons/cu/cornell-reduced-white-SMALL.svg)](https://www.cornell.edu/) [We gratefully acknowledge support from\ \ the Simons Foundation and member institu...,Data Integration Challenges,arXiv,automatic
From data to insights: the application and challenges of knowledge ...,"Wang, Yanyan",2024,Springer,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-024-00674-0,- Review - [Open access](https://www.springernature.com/gp/open-research/about/the-fundamentals-of-open-access-and-open-research) - Published: 29 May 2024 [_Journal of Cloud Computing_](https://journa...,Data Integration Challenges,Springer Open,automatic
arXiv reCAPTCHA,,2022,arXiv,https://arxiv.org/pdf/2307.12173,We gratefully acknowledge support from the Simons Foundation and member institutions.,Data Integration Challenges,arXiv,automatic
leveraging digital twins and personal knowledge graphs in ...,,2023,PubMed/PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC10733505/,Abstract Healthcare has always been a strategic domain in which innovative technologies can be applied to increase the effectiveness of services and patient care quality. Recent advancements have been...,Data Integration Challenges,PubMed/PMC,automatic
[PDF] Knowledge Graphs: The Future of Data Integration and Insightful ...,,2025,arXiv,https://www.arxiv.org/pdf/2502.15689,"Knowledge Graphs: The Future of Data Integration and Insightful Discovery Saher Mohamed, Kirollos Farah, Abdelrahman Lotfy, Kareem Rizk, Abdelrahman Saeed, Shahenda Mohamed, Ghada Khouriba, Tamer Araf...",Data Integration Challenges,arXiv,automatic
Knowledge Graphs Evolution and Preservation - A Technical Report from ISWS 2019,"Nacira Abbas,Kholoud Alghamdi,Mortaza Alinam,Francesca Alloatti,Glenda C. M. Amaral,Claudia d'Amato,",2020,arXiv,https://arxiv.org/pdf/2012.11936v1.pdf,Sebastian Rudolph T U Dresden Harald De Sack Fiz -Karlsruhe Karlsruhe Francesca Alloatti Ling Cai Stefano De Giorgis Paola Espinoza Arias Asefa Genet Fiz Gesese Frances Karlsruhe Gillis-Webber Ivan He...,Data Integration Challenges,arXiv,automatic
Unifying Large Language Models and Knowledge Graphs: A Roadmap,"Shirui Pan,Linhao Luo,Yufei Wang,Chen Chen,Jiaqiang Wang,Xindong Wu",2024,arXiv,https://export.arxiv.org/pdf/2306.08302v2.pdf,Journal Of L A T E X Class Files Unifying Large Language Models and Knowledge Graphs: A Roadmap 148AUGUST 2021 1Index Terms-Natural Language ProcessingLarge Language ModelsGenerative Pre-TrainingKnowl...,Data Integration Challenges,arXiv,automatic
Modelling big data platforms as knowledge graphs,"Reforgiato Recupero, Diego",2025,Springer,https://journalofbigdata.springeropen.com/articles/10.1186/s40537-025-01094-w,"Research Open access Published: 11 March 2025 Journal of Big Data volume 12, Article number: 64 ( 2025) Cite this article Abstract The rise of big data has introduced significant challenges in managin...",Data Integration Challenges,Springer Open,automatic
Knowledge sharing and discovery across heterogeneous research infrastructures.,"Siamak Farshidi,Xiaofeng Liao,Na Li,Doron Goldfarb,Barbara Magagna,Markus Stocker,Keith Jeffery,Pete",2021,Other,https://zenodo.org/record/8058446/files/openreseurope-1-14751.pdf,Siamak Farshidi Department of Information and Computer Science Utrecht University UtrechtThe Netherlands Xiaofeng Liao MultiScale Networked Systems (MNS) University of Amsterdam 1098 XKAmsterdamNether...,Data Integration Challenges,Zenodo,automatic
