Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords,Source_File,Domain_Category,Access_Type
Personal Knowledge Graphs: Use Cases in e-learning Platforms,Elham Alatrash et al.,2022,ACM Web Conference,https://dl.acm.org/doi/10.1145/3487553.3524196,E-learning applications; educational technology; recommender systems,Personal Knowledge Graphs,ACM Digital Library,institutional
A Personal Knowledge Graph for Researchers,Himangshu Sarma et al.,2023,Forum for Information Retrieval Evaluation,https://dl.acm.org/doi/10.1145/3632754.3632773,Research management; academic workflow; knowledge organization,Personal Knowledge Graphs,ACM Digital Library,institutional
Personal Research Knowledge Graphs,Kaustav Chakraborty et al.,2022,ACM Web Conference,https://dl.acm.org/doi/10.1145/3487553.3524654,Research workflow; academic knowledge management; scholarly data,Personal Knowledge Graphs,ACM Digital Library,institutional
A Question-Answering Assistant over Personal Knowledge Graph,Lihui Liu et al.,2024,ACM SIGIR,https://dl.acm.org/doi/10.1145/3626772.3657665,Question answering; conversational AI; PKG applications,Personal Knowledge Graphs,ACM Digital Library,institutional
Learner Modeling and Recommendation of Learning Resources using Personal Knowledge Graphs,Elham Alatrash et al.,2024,Learning Analytics and Knowledge Conference,https://dl.acm.org/doi/10.1145/3636555.3636881,Learner modeling; educational recommendations; personalized learning,Personal Knowledge Graphs,ACM Digital Library,institutional
PKG: A Personal Knowledge Graph for Recommendation,Jiahao Zhang et al.,2022,ACM SIGIR,https://dl.acm.org/doi/10.1145/3477495.3531671,Recommendation systems; personalization; graph-based recommendations,Personal Knowledge Graphs,ACM Digital Library,institutional
CONNECTED: leveraging digital twins and personal knowledge graphs in healthcare digitalization,Sabrina Aufiero et al.,2023,Frontiers in Digital Health,https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2023.1322428/full,Healthcare applications; digital twins; medical informatics,Personal Knowledge Graphs,Frontiers Open Access,automatic
Personalized Health Knowledge Graph,Amelie Gyrard et al.,2021,Semantic Scholar,https://www.semanticscholar.org/paper/Personalized-Health-Knowledge-Graph-Gyrard-Gaur/d8acc5f15dc9a05fd35f4545c5a46a47866d921e,Healthcare personalization; medical knowledge graphs; patient-centric systems,Personal Knowledge Graphs,Semantic Scholar,automatic
A Personal Healthcare Knowledge Graph Framework for Diagnosis of Pelvic Masses Diseases,Unknown Authors,2023,ResearchGate,https://www.researchgate.net/publication/377694519_A_Personal_Healthcare_Knowledge_Graph_Framework_for_Diagnosis_of_Pelvic_Masses_Diseases,Medical diagnosis; clinical decision support; healthcare KG,Personal Knowledge Graphs,ResearchGate,automatic
Building and using personal knowledge graph to improve suicidal ideation detection on social media,Unknown Authors,2020,Research Publication,Not available,Mental health; suicide prevention; social media analysis,Personal Knowledge Graphs,No URL,manual
User Behavior Enriched Temporal Knowledge Graphs for Sequential Recommendation,Unknown Authors,2024,ACM WSDM,https://dl.acm.org/doi/10.1145/3616855.3635762,Temporal KG; sequential recommendations; user behavior modeling,Personal Knowledge Graphs,ACM Digital Library,institutional
Temporal Knowledge Graph Completion: A Survey,Unknown Authors,2023,IJCAI,https://www.ijcai.org/proceedings/2023/0734.pdf,Temporal KG; knowledge completion; survey paper,Personal Knowledge Graphs,Other (ijcai.org),manual
Recommendation System Based on Temporal Knowledge Graph Path Reasoning,Unknown Authors,2023,Power Communication Conference,https://dl.acm.org/doi/10.1145/3630138.3630436,Temporal reasoning; recommendation systems; path-based methods,Personal Knowledge Graphs,ACM Digital Library,institutional
A Survey on Temporal Knowledge Graph: Representation Learning and Applications,Unknown Authors,2024,arXiv,https://arxiv.org/abs/2403.04782,Temporal KG survey; representation learning; applications overview,Personal Knowledge Graphs,arXiv,automatic
Enhance Temporal Knowledge Graph Completion via Time-Aware Attention Graph Convolutional Network,Unknown Authors,2023,Springer,https://link.springer.com/chapter/10.1007/978-3-031-26390-3_8,Time-aware attention; GCN applications; temporal completion,Personal Knowledge Graphs,Springer,institutional
A novel customizing knowledge graph evaluation method for incorporating user needs,Unknown Authors,2024,Scientific Reports,https://www.nature.com/articles/s41598-024-60004-x,User-centric evaluation; KG assessment; personalization metrics,Personal Knowledge Graphs,Nature,institutional
Knowledge Graph Quality Management: A Comprehensive Survey,Unknown Authors,2022,IEEE TKDE,https://dl.acm.org/doi/10.1109/TKDE.2022.3150080,Quality assessment; KG evaluation; comprehensive survey,Personal Knowledge Graphs,ACM Digital Library,institutional
Steps to Knowledge Graphs Quality Assessment,Unknown Authors,2022,arXiv,https://arxiv.org/abs/2208.07779,Quality metrics; assessment frameworks; evaluation methodologies,Personal Knowledge Graphs,arXiv,automatic
Structural Quality Metrics to Evaluate Knowledge Graphs,Unknown Authors,2022,Semantic Web Journal,https://arxiv.org/abs/2211.10011,Structural metrics; KG quality; evaluation frameworks,Personal Knowledge Graphs,arXiv,automatic
Personal Knowledge Graphs,Krisztian Balog,2019,ACM SIGIR,https://dl.acm.org/doi/10.1145/3341981.3344241,Foundational PKG concepts; theoretical framework; research agenda,Personal Knowledge Graphs,ACM Digital Library,institutional
A Survey on Temporal Knowledge Graph Completion: Taxonomy Progress and Prospects,Jiapu Wang et al.,2023,arXiv,https://arxiv.org/abs/2308.02457,Survey on TKGC methods with taxonomy and future prospects,Temporal Knowledge Graphs,arXiv,automatic
TGB 2.0: A Benchmark for Learning on Temporal Knowledge Graphs and Heterogeneous Graphs,Julia Gastinger et al.,2024,arXiv/NeurIPS,https://arxiv.org/abs/2406.09639,Large-scale benchmarking framework for temporal knowledge graphs,Temporal Knowledge Graphs,arXiv,automatic
Temporal Knowledge Graph Question Answering: A Survey,Costas Mavromatis et al.,2024,arXiv,https://arxiv.org/abs/2406.14191,Survey on temporal knowledge graph question answering systems,Temporal Knowledge Graphs,arXiv,automatic
Chain of History: Learning and Forecasting with LLMs for Temporal Knowledge Graph Completion,Ruilin Luo et al.,2024,arXiv,https://arxiv.org/abs/2401.06072,LLM-based approach for temporal knowledge graph completion,Temporal Knowledge Graphs,arXiv,automatic
Temporal Knowledge Graph Reasoning with Historical Contrastive Learning,Yixing Xu et al.,2022,arXiv,https://arxiv.org/abs/2211.10904,Contrastive learning approach for temporal reasoning,Temporal Knowledge Graphs,arXiv,automatic
TeRo: A Time-aware Knowledge Graph Embedding via Temporal Rotation,Chengjin Xu et al.,2020,COLING,https://aclanthology.org/2020.coling-main.139/,Temporal rotation in complex space for TKG embeddings,Temporal Knowledge Graphs,ACL Anthology,automatic
TLogic: Temporal Logical Rules for Explainable Link Forecasting on Temporal Knowledge Graphs,Yushan Liu et al.,2022,AAAI,https://arxiv.org/abs/2112.08025,Explainable temporal reasoning using logical rules,Temporal Knowledge Graphs,arXiv,automatic
Temporal Knowledge Graph Completion Using Box Embeddings,Johannes Messner et al.,2022,AAAI,https://aaai.org/papers/07779-temporal-knowledge-graph-completion-using-box-embeddings/,Box embedding approach for temporal knowledge graphs,Temporal Knowledge Graphs,Other (aaai.org),manual
StreamE: Learning to Update Representations for Temporal Knowledge Graphs in Streaming Scenarios,Jiasheng Zhang et al.,2023,SIGIR,https://dl.acm.org/doi/10.1145/3539618.3591772,Streaming updates for temporal knowledge graph representations,Temporal Knowledge Graphs,ACM Digital Library,institutional
GenTKG: Generative Forecasting on Temporal Knowledge Graph with Large Language Models,Ruotong Liao et al.,2023,arXiv,https://arxiv.org/abs/2310.07793,Generative LLM approach for temporal forecasting,Temporal Knowledge Graphs,arXiv,automatic
Temporal Knowledge Graph Completion with Approximated Gaussian Process Embedding,Lingjuan Zhang et al.,2022,COLING,https://aclanthology.org/2022.coling-1.416/,Gaussian process embeddings for temporal completion,Temporal Knowledge Graphs,ACL Anthology,automatic
HGE: Embedding Temporal Knowledge Graphs in a Product Space of Heterogeneous Geometric Subspaces,Jiaxin Pan et al.,2023,arXiv,https://arxiv.org/abs/2312.13680,Heterogeneous geometric embeddings for temporal KGs,Temporal Knowledge Graphs,arXiv,automatic
Towards Temporal Knowledge Graph Embeddings with Arbitrary Time Precision,Lingjuan Zhang et al.,2020,CIKM,https://dl.acm.org/doi/abs/10.1145/3340531.3412028,Arbitrary time precision in temporal embeddings,Temporal Knowledge Graphs,ACM Digital Library,institutional
Temporal Knowledge Graph Completion using a Linear Temporal Regularizer and Multivector Embeddings,Chengjin Xu et al.,2021,NAACL,https://aclanthology.org/2021.naacl-main.202/,Linear temporal regularization with multivector embeddings,Temporal Knowledge Graphs,ACL Anthology,automatic
Temporal Knowledge Graph Reasoning Based on Evolutional Representation Learning,Zi Chen et al.,2021,SIGIR,https://dl.acm.org/doi/abs/10.1145/3404835.3462963,Evolutional representation learning for temporal reasoning,Temporal Knowledge Graphs,ACM Digital Library,institutional
A Novel Semantic-Enhanced Time-Aware Model for Temporal Knowledge Graph Completion,Liang Zhang et al.,2023,Springer LNCS,https://link.springer.com/chapter/10.1007/978-3-031-44696-2_12,Semantic enhancement for time-aware TKG completion,Temporal Knowledge Graphs,Springer,institutional
